"","month_sum","month"
"1",1041018.114216,"1990-01"
"2",815681.011344,"1990-02"
"3",799926.459456,"1990-03"
"4",606502.498776,"1990-04"
"5",553436.34456,"1990-05"
"6",546464.883912,"1990-06"
"7",538772.276856,"1990-07"
"8",611509.24476,"1990-08"
"9",643632.663408,"1990-09"
"10",854587.787376,"1990-10"
"11",956932.733616,"1990-11"
"12",1010118.404352,"1990-12"
"13",1005569.6076,"1991-01"
"14",852725.585616,"1991-02"
"15",695872.054704,"1991-03"
"16",589234.016328,"1991-04"
"17",569515.161336,"1991-05"
"18",529032.915264,"1991-06"
"19",548010.041136,"1991-07"
"20",606059.42472,"1991-08"
"21",657970.868184,"1991-09"
"22",845921.857224,"1991-10"
"23",912741.694104,"1991-11"
"24",1039856.210472,"1991-12"
"25",1042818.668208,"1992-01"
"26",855975.090912,"1992-02"
"27",764786.571,"1992-03"
"28",635756.289912,"1992-04"
"29",596845.477488,"1992-05"
"30",563269.979424,"1992-06"
"31",547756.75224,"1992-07"
"32",600317.999184,"1992-08"
"33",626468.5956,"1992-09"
"34",874874.957232,"1992-10"
"35",842430.29844,"1992-11"
"36",924453.171312,"1992-12"
"37",889563.718872,"1993-01"
"38",759617.978976,"1993-02"
"39",774639.906888,"1993-03"
"40",599868.385968,"1993-04"
"41",549974.604792,"1993-05"
"42",513128.791392,"1993-06"
"43",519483.73212,"1993-07"
"44",580289.096352,"1993-08"
"45",629995.646856,"1993-09"
"46",817795.942992,"1993-10"
"47",926762.49984,"1993-11"
"48",979411.842264,"1993-12"
"49",965633.55204,"1994-01"
"50",785796.064608,"1994-02"
"51",731089.489632,"1994-03"
"52",569667.178296,"1994-04"
"53",547715.128992,"1994-05"
"54",533416.145664,"1994-06"
"55",518006.92704,"1994-07"
"56",579186.581328,"1994-08"
"57",628690.910304,"1994-09"
"58",802649.7786,"1994-10"
"59",786090.575952,"1994-11"
"60",1000680.1362,"1994-12"
"61",842125.521432,"1995-01"
"62",745761.396936,"1995-02"
"63",696032.441184,"1995-03"
"64",547841.584152,"1995-04"
"65",531044.215512,"1995-05"
"66",531028.598472,"1995-06"
"67",536904.251568,"1995-07"
"68",567662.071752,"1995-08"
"69",590992.18776,"1995-09"
"70",764409.218808,"1995-10"
"71",854322.852,"1995-11"
"72",894185.084472,"1995-12"
"73",856522.379928,"1996-01"
"74",734848.003584,"1996-02"
"75",690094.253064,"1996-03"
"76",528248.544672,"1996-04"
"77",508078.658952,"1996-05"
"78",497551.998432,"1996-06"
"79",481204.601256,"1996-07"
"80",552475.17132,"1996-08"
"81",542220.121152,"1996-09"
"82",688421.763912,"1996-10"
"83",758146.636704,"1996-11"
"84",817774.131936,"1996-12"
"85",758026.820016,"1997-01"
"86",647754.618768,"1997-02"
"87",637177.540728,"1997-03"
"88",487544.05932,"1997-04"
"89",466739.345784,"1997-05"
"90",447905.26056,"1997-06"
"91",462933.811632,"1997-07"
"92",472992.676296,"1997-08"
"93",504036.405528,"1997-09"
"94",679829.981664,"1997-10"
"95",767044.934448,"1997-11"
"96",853353.639888,"1997-12"
"97",792083.957448,"1998-01"
"98",606302.7642,"1998-02"
"99",582537.348648,"1998-03"
"100",487745.836848,"1998-04"
"101",476295.298728,"1998-05"
"102",426093.837096,"1998-06"
"103",461253.213072,"1998-07"
"104",504448.659504,"1998-08"
"105",513332.358816,"1998-09"
"106",685127.42472,"1998-10"
"107",752702.912544,"1998-11"
"108",831468.620832,"1998-12"
"109",788159.381544,"1999-01"
"110",620514.17172,"1999-02"
"111",569137.07484,"1999-03"
"112",453465.19392,"1999-04"
"113",420823.349928,"1999-05"
"114",395129.790504,"1999-06"
"115",392773.56612,"1999-07"
"116",410849.850408,"1999-08"
"117",460199.581728,"1999-09"
"118",659303.031336,"1999-10"
"119",720792.639408,"1999-11"
"120",757704.356064,"1999-12"
"121",687296.059848,"2000-01"
"122",594477.51648,"2000-02"
"123",527587.234296,"2000-03"
"124",400777.662912,"2000-04"
"125",369845.737008,"2000-05"
"126",344047.009512,"2000-06"
"127",352978.363536,"2000-07"
"128",383882.582544,"2000-08"
"129",405390.539568,"2000-09"
"130",532574.398824,"2000-10"
"131",630973.869504,"2000-11"
"132",725027.187408,"2000-12"
"133",692710.603584,"2001-01"
"134",505305.682032,"2001-02"
