"","sum_CO","date"
"1990-01-01",23891.51592,"1990-01-01"
"1990-01-02",29232.301272,"1990-01-02"
"1990-01-03",36053.732232,"1990-01-03"
"1990-01-04",39064.074384,"1990-01-04"
"1990-01-05",41309.38872,"1990-01-05"
"1990-01-06",35675.713656,"1990-01-06"
"1990-01-07",30035.361696,"1990-01-07"
"1990-01-08",40551.101904,"1990-01-08"
"1990-01-09",40317.486696,"1990-01-09"
"1990-01-10",41037.225792,"1990-01-10"
"1990-01-11",38535.483456,"1990-01-11"
"1990-01-12",32093.818344,"1990-01-12"
"1990-01-13",24920.948784,"1990-01-13"
"1990-01-14",25028.752728,"1990-01-14"
"1990-01-15",34437.491424,"1990-01-15"
"1990-01-16",40681.956408,"1990-01-16"
"1990-01-17",36146.090928,"1990-01-17"
"1990-01-18",29006.284776,"1990-01-18"
"1990-01-19",33440.417976,"1990-01-19"
"1990-01-20",32678.360304,"1990-01-20"
"1990-01-21",28841.236416,"1990-01-21"
"1990-01-22",38374.131744,"1990-01-22"
"1990-01-23",39519.45516,"1990-01-23"
"1990-01-24",35224.617792,"1990-01-24"
"1990-01-25",33871.637112,"1990-01-25"
"1990-01-26",32568.908208,"1990-01-26"
"1990-01-27",25232.0964,"1990-01-27"
"1990-01-28",23122.610136,"1990-01-28"
"1990-01-29",32177.48928,"1990-01-29"
"1990-01-30",31577.81892,"1990-01-30"
"1990-01-31",36370.605648,"1990-01-31"
"1990-02-01",32227.730256,"1990-02-01"
"1990-02-02",32157.074616,"1990-02-02"
"1990-02-03",29050.92492,"1990-02-03"
"1990-02-04",22168.625856,"1990-02-04"
"1990-02-05",28507.522656,"1990-02-05"
"1990-02-06",35902.88748,"1990-02-06"
"1990-02-07",37253.609112,"1990-02-07"
"1990-02-08",34417.480272,"1990-02-08"
"1990-02-09",31118.34564,"1990-02-09"
"1990-02-10",28466.57448,"1990-02-10"
"1990-02-11",28354.549704,"1990-02-11"
"1990-02-12",30454.667328,"1990-02-12"
"1990-02-13",23270.180424,"1990-02-13"
"1990-02-14",22639.643856,"1990-02-14"
"1990-02-15",26437.48068,"1990-02-15"
"1990-02-16",29725.978056,"1990-02-16"
"1990-02-17",20876.398176,"1990-02-17"
"1990-02-18",20116.865928,"1990-02-18"
"1990-02-19",24416.20968,"1990-02-19"
"1990-02-20",29863.386336,"1990-02-20"
"1990-02-21",35445.105816,"1990-02-21"
"1990-02-22",34493.914632,"1990-02-22"
"1990-02-23",34971.608376,"1990-02-23"
"1990-02-24",30394.609968,"1990-02-24"
"1990-02-25",25461.586488,"1990-02-25"
"1990-02-26",29058.865512,"1990-02-26"
"1990-02-27",28614.83064,"1990-02-27"
"1990-02-28",29814.354456,"1990-02-28"
"1990-03-01",29931.637536,"1990-03-01"
"1990-03-02",32330.958888,"1990-03-02"
"1990-03-03",27669.542208,"1990-03-03"
"1990-03-04",19780.83396,"1990-03-04"
"1990-03-05",24243.2178,"1990-03-05"
"1990-03-06",25186.138584,"1990-03-06"
"1990-03-07",25026.39276,"1990-03-07"
"1990-03-08",29187.628728,"1990-03-08"
"1990-03-09",32922.405696,"1990-03-09"
"1990-03-10",29145.421536,"1990-03-10"
"1990-03-11",22356.690384,"1990-03-11"
"1990-03-12",28129.297896,"1990-03-12"
"1990-03-13",27185.571,"1990-03-13"
"1990-03-14",27378.846768,"1990-03-14"
"1990-03-15",28341.046728,"1990-03-15"
"1990-03-16",29665.476024,"1990-03-16"
"1990-03-17",23661.30252,"1990-03-17"
"1990-03-18",20506.003608,"1990-03-18"
"1990-03-19",26154.213312,"1990-03-19"
"1990-03-20",26260.727568,"1990-03-20"
"1990-03-21",28731.853896,"1990-03-21"
"1990-03-22",26727.253608,"1990-03-22"
"1990-03-23",23668.996512,"1990-03-23"
"1990-03-24",21095.144064,"1990-03-24"
"1990-03-25",18387.84408,"1990-03-25"
"1990-03-26",24072.892272,"1990-03-26"
"1990-03-27",24241.831728,"1990-03-27"
"1990-03-28",24138.500616,"1990-03-28"
"1990-03-29",22531.811232,"1990-03-29"
"1990-03-30",25070.98092,"1990-03-30"
"1990-03-31",26195.997024,"1990-03-31"
"1990-04-01",22443.049488,"1990-04-01"
"1990-04-02",22880.71272,"1990-04-02"
"1990-04-03",22963.1712,"1990-04-03"
"1990-04-04",22453.6776,"1990-04-04"
"1990-04-05",20906.683896,"1990-04-05"
"1990-04-06",21759.32316,"1990-04-06"
"1990-04-07",18790.438512,"1990-04-07"
"1990-04-08",15983.4546,"1990-04-08"
"1990-04-09",23196.888504,"1990-04-09"
"1990-04-10",21834.733704,"1990-04-10"
"1990-04-11",19226.046768,"1990-04-11"
"1990-04-12",22311.894312,"1990-04-12"
"1990-04-13",22625.706888,"1990-04-13"
"1990-04-14",19323.01416,"1990-04-14"
"1990-04-15",16215.684168,"1990-04-15"
"1990-04-16",21475.672272,"1990-04-16"
"1990-04-17",17920.866048,"1990-04-17"
"1990-04-18",18236.606112,"1990-04-18"
"1990-04-19",20119.071744,"1990-04-19"
"1990-04-20",20910.67212,"1990-04-20"
"1990-04-21",19935.714792,"1990-04-21"
"1990-04-22",17725.858272,"1990-04-22"
"1990-04-23",21614.616528,"1990-04-23"
"1990-04-24",19800.336888,"1990-04-24"
"1990-04-25",19826.72352,"1990-04-25"
"1990-04-26",22067.638392,"1990-04-26"
"1990-04-27",24275.50488,"1990-04-27"
"1990-04-28",18052.113624,"1990-04-28"
"1990-04-29",13200.9708,"1990-04-29"
"1990-04-30",18425.653104,"1990-04-30"
"1990-05-01",19975.89804,"1990-05-01"
"1990-05-02",19949.4186,"1990-05-02"
"1990-05-03",19075.022304,"1990-05-03"
"1990-05-04",21883.534176,"1990-05-04"
"1990-05-05",19204.285368,"1990-05-05"
"1990-05-06",16203.598488,"1990-05-06"
"1990-05-07",18499.168608,"1990-05-07"
"1990-05-08",17922.209256,"1990-05-08"
"1990-05-09",18454.167216,"1990-05-09"
"1990-05-10",16758.217512,"1990-05-10"
"1990-05-11",18945.175368,"1990-05-11"
"1990-05-12",16840.884072,"1990-05-12"
"1990-05-13",14959.00836,"1990-05-13"
"1990-05-14",18708.072288,"1990-05-14"
"1990-05-15",18912.709944,"1990-05-15"
"1990-05-16",19180.810272,"1990-05-16"
"1990-05-17",18583.367064,"1990-05-17"
"1990-05-18",18523.07724,"1990-05-18"
"1990-05-19",15435.26988,"1990-05-19"
"1990-05-20",13069.679856,"1990-05-20"
"1990-05-21",18303.067464,"1990-05-21"
"1990-05-22",18747.267168,"1990-05-22"
"1990-05-23",19976.149824,"1990-05-23"
"1990-05-24",19424.044272,"1990-05-24"
"1990-05-25",20624.143488,"1990-05-25"
"1990-05-26",15733.283448,"1990-05-26"
"1990-05-27",14172.93504,"1990-05-27"
"1990-05-28",13193.973912,"1990-05-28"
"1990-05-29",16585.712376,"1990-05-29"
"1990-05-30",17122.350384,"1990-05-30"
"1990-05-31",18469.843272,"1990-05-31"
"1990-06-01",19845.965424,"1990-06-01"
"1990-06-02",16959.58464,"1990-06-02"
"1990-06-03",14784.489168,"1990-06-03"
"1990-06-04",18496.785528,"1990-06-04"
"1990-06-05",17994.771264,"1990-06-05"
"1990-06-06",17935.966632,"1990-06-06"
"1990-06-07",19805.092056,"1990-06-07"
"1990-06-08",21702.546768,"1990-06-08"
"1990-06-09",16854.259368,"1990-06-09"
"1990-06-10",12606.170448,"1990-06-10"
"1990-06-11",15246.26004,"1990-06-11"
"1990-06-12",16532.96484,"1990-06-12"
"1990-06-13",17369.827488,"1990-06-13"
"1990-06-14",18986.140416,"1990-06-14"
"1990-06-15",20484.449928,"1990-06-15"
"1990-06-16",17876.468736,"1990-06-16"
"1990-06-17",15531.014064,"1990-06-17"
"1990-06-18",17593.100184,"1990-06-18"
"1990-06-19",18226.815336,"1990-06-19"
"1990-06-20",20761.075776,"1990-06-20"
"1990-06-21",20850.363888,"1990-06-21"
"1990-06-22",20359.32816,"1990-06-22"
"1990-06-23",16210.77876,"1990-06-23"
"1990-06-24",14802.85176,"1990-06-24"
"1990-06-25",20407.626096,"1990-06-25"
"1990-06-26",20846.087496,"1990-06-26"
"1990-06-27",20145.222672,"1990-06-27"
"1990-06-28",20580.647256,"1990-06-28"
"1990-06-29",20646.465432,"1990-06-29"
"1990-06-30",16021.764288,"1990-06-30"
"1990-07-01",13730.199624,"1990-07-01"
"1990-07-02",17255.032896,"1990-07-02"
"1990-07-03",18662.898648,"1990-07-03"
"1990-07-04",13226.141544,"1990-07-04"
"1990-07-05",18052.864368,"1990-07-05"
"1990-07-06",17073.455832,"1990-07-06"
"1990-07-07",14044.287576,"1990-07-07"
"1990-07-08",12158.703696,"1990-07-08"
"1990-07-09",17848.923552,"1990-07-09"
"1990-07-10",19325.37612,"1990-07-10"
"1990-07-11",19633.308624,"1990-07-11"
"1990-07-12",18419.982288,"1990-07-12"
"1990-07-13",19030.016616,"1990-07-13"
"1990-07-14",16601.636784,"1990-07-14"
"1990-07-15",14338.30716,"1990-07-15"
"1990-07-16",16990.575768,"1990-07-16"
"1990-07-17",18056.195784,"1990-07-17"
"1990-07-18",19139.815056,"1990-07-18"
"1990-07-19",19288.983048,"1990-07-19"
"1990-07-20",19603.717512,"1990-07-20"
"1990-07-21",16286.986968,"1990-07-21"
"1990-07-22",13961.59272,"1990-07-22"
"1990-07-23",17729.483304,"1990-07-23"
"1990-07-24",19094.287248,"1990-07-24"
"1990-07-25",19147.277472,"1990-07-25"
"1990-07-26",19454.79192,"1990-07-26"
"1990-07-27",20354.166096,"1990-07-27"
"1990-07-28",17709.794424,"1990-07-28"
"1990-07-29",15547.618056,"1990-07-29"
"1990-07-30",19013.292024,"1990-07-30"
"1990-07-31",17992.564128,"1990-07-31"
"1990-08-01",17490.275832,"1990-08-01"
"1990-08-02",19091.297736,"1990-08-02"
"1990-08-03",22700.116824,"1990-08-03"
"1990-08-04",18698.124864,"1990-08-04"
"1990-08-05",14403.133944,"1990-08-05"
"1990-08-06",18551.295096,"1990-08-06"
"1990-08-07",20029.689216,"1990-08-07"
"1990-08-08",21360.969432,"1990-08-08"
"1990-08-09",22648.70508,"1990-08-09"
"1990-08-10",24683.222016,"1990-08-10"
"1990-08-11",20128.26072,"1990-08-11"
"1990-08-12",17138.92296,"1990-08-12"
"1990-08-13",19141.095648,"1990-08-13"
"1990-08-14",18952.804584,"1990-08-14"
"1990-08-15",19442.084304,"1990-08-15"
"1990-08-16",20270.133576,"1990-08-16"
"1990-08-17",22134.853248,"1990-08-17"
"1990-08-18",17319.51288,"1990-08-18"
"1990-08-19",13832.989656,"1990-08-19"
"1990-08-20",17678.96412,"1990-08-20"
"1990-08-21",18697.142184,"1990-08-21"
"1990-08-22",19960.338456,"1990-08-22"
"1990-08-23",20451.010296,"1990-08-23"
"1990-08-24",21612.486504,"1990-08-24"
"1990-08-25",18520.506192,"1990-08-25"
"1990-08-26",16770.53592,"1990-08-26"
"1990-08-27",22521.91512,"1990-08-27"
"1990-08-28",22337.96772,"1990-08-28"
"1990-08-29",20878.767672,"1990-08-29"
"1990-08-30",20728.103112,"1990-08-30"
"1990-08-31",23334.019848,"1990-08-31"
"1990-09-01",20394.616656,"1990-09-01"
"1990-09-02",16847.019936,"1990-09-02"
"1990-09-03",14754.525432,"1990-09-03"
"1990-09-04",21082.561056,"1990-09-04"
